record_id,Date,Line items,Order Shipping,Payment Method,Stripe Fee,Status,Billing Country,Paid Date,Shipping City,Shipping Country,Total (EUR),Order Total (EUR),Subtotal (EUR),Free Shipping,Shipping Method,Billing Full Name
10841,2022-12-11 11:49:17,Product: White Truffles Whole Karlić - 50g X 1 = €28.00. Product: - Volume: 50g. ,3.2,Bank Transfer,,wc-completed,HR,2022-12-16 16:38:24,Breznički Hum,HR,28.4,28.4,28.0,False,Croatia,Vincent Dennis
10759,2022-12-07 23:06:32,Product: Teranino Truffell - 200ml X 4 = €58.64. Product: - Volume: 200ml. ,25.47,Stripe Safe Card,1.43,wc-completed,FR,2022-12-07 23:06:37,Colombes,FR,84.11,84.11,58.64,False,Europe 2,Vicki Torres
10751,2022-12-07 16:49:59,Product: Olive Oil Istarska Bjelica Oio Vivo X 2 = €42.00. ,19.47,PayPal,,wc-completed,DE,2022-12-07 16:50:02,Münster,DE,61.47,61.47,42.0,False,Europe 1,Joshua Johnson
10727,2022-12-06 19:39:36,Product: Tomaz Rosé Flaminio 2021 X 5 = €46.75. ,19.47,PayPal,,wc-completed,AT,2022-12-07 08:49:30,Wünschendorf,AT,66.22,66.22,46.75,False,Europe 1,Heather Hernandez
10683,2022-12-04 11:37:23,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €21.90. Product: - Volume: 700ml. ,19.47,PayPal,,wc-completed,HU,2022-12-04 11:37:27,Ikreny,HU,41.37,41.37,21.9,False,Europe 1,Karen Rosales
10504,2022-11-30 22:24:51,Product: Aura Teranino - 700ml (#38859892613365) X 2 = €39.80. Product: - Volume: 700ml. ,25.47,Stripe Safe Card,1.16,wc-completed,DK,2022-11-30 22:25:33,Tommerup,DK,65.27,65.27,39.8,False,Europe 2,Jeremy Kelly
10500,2022-11-30 10:36:34,"Product: Malvazija Deklić Wine 0,75L X 1 = €9.20. Product: Olive oil Šoltansko Blend Premium Variety Soltanka Oblika X 1 = €14.00. ",3.2,Stripe Safe Card,0.62,wc-completed,HR,2022-11-30 10:36:38,Zagreb,HR,26.4,26.4,23.2,False,Croatia,Regina Johnson
10499,2022-11-29 14:14:06,"Product: Ante Sladić Maraština Wine 0,75L X 1 = €14.53. ",3.2,Stripe Safe Card,0.5,wc-completed,HR,2022-11-29 14:14:11,Vinkovci,HR,17.73,17.73,14.53,False,Croatia,Gregory Shelton
10498,2022-11-28 20:22:31,Product: Aura Teranino - 700ml (#38859892613365) X 2 = €39.80. Product: - Volume: 700ml. ,19.47,PayPal,,wc-completed,AT,2022-11-28 20:22:34,Grünau,AT,59.27,59.27,39.8,False,Europe 1,Brittany Baker
10497,2022-11-28 08:28:01,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €19.90. Product: - Volume: 700ml. ,19.47,Stripe Safe Card,0.8,wc-completed,CZ,2022-11-28 08:28:06,Brno,CZ,39.37,39.37,19.9,False,Europe 1,Kimberly Welch
10492,2022-11-27 18:01:31,Product: Aura Teranino in Barrel X 2 = €432.70. ,26.8,Stripe Safe Card,6.68,wc-completed,PL,2022-11-27 18:01:36,Rzeszów,PL,459.5,459.5,432.7,True,Europe 2,Jessica Pope
10491,2022-11-27 10:45:13,Product: Aura Teranino - 700ml (#38859892613365) X 4 = €79.60. Product: - Volume: 700ml. ,20.8,Stripe Safe Card,1.66,wc-completed,HU,2022-11-27 10:47:10,Budapest,HU,100.4,100.4,79.6,False,Europe 1,Brian Bonilla
10490,2022-11-26 20:17:36,Product: Aura Ruža - 700ml (#3859892613525) X 1 = €21.30. Product: - Volume: 700ml. Product: Aura Šipak - 700ml X 1 = €23.35. Product: - Volume: 700ml. Product: Aura Limoncello X 1 = €25.35. Product: Aura Teranino - 700ml (#38859892613365) X 2 = €39.80. Product: - Volume: 700ml. ,29.07,Stripe Safe Card,2.19,wc-completed,LT,2022-11-26 20:17:40,"Volungių k., Bubių sen., Šiaulių r.",LT,138.87,138.87,109.8,False,Europe 2,Barbara Fuller
10454,2022-11-25 15:46:09,Product: Aura Teranino - 700ml (#38859892613365) X 2 = €39.80. Product: - Volume: 700ml. ,3.2,Stripe Safe Card,0.85,wc-completed,HR,2022-11-25 15:46:14,Bjelovar,HR,43.0,43.0,39.8,False,Croatia,Tina Alexander
10452,2022-11-24 17:22:52,Product: Old Pilot's Gin X 1 = €48.00. Product: Old Pilot's Gin Barrel Aged X 1 = €82.00. ,39.33,Stripe Safe Card,2.62,wc-completed,RO,2022-11-24 17:23:51,bucuresti,RO,169.33,169.33,130.0,False,Europe 3,Michael Brown
10393,2022-11-23 21:37:19,Product: Cidrani Apple Cider Original X 2 = €23.74. ,3.2,Stripe Safe Card,0.63,wc-completed,HR,2022-11-23 21:37:23,Veliko Trgovišće,HR,26.94,26.94,23.74,False,Croatia,Frederick Smith
10392,2022-11-23 15:18:28,Product: Edelweisser Gin X 2 = €79.72. ,20.8,PayPal,,wc-completed,DE,2022-11-23 15:18:31,Weissenburg,DE,100.52,100.52,79.72,False,Europe 1,Charles Small
